"","county","county_fips","state","fips","county_population","health_service_area_number","health_service_area","health_service_area_population"
"1","Hartley County",48205,"Texas",48205,"5,576",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"2","Warren County",28149,"Mississippi",28149,"45,381",431,"Warren, MS - Madison, LA","65,320"
"3","Amite County",28005,"Mississippi",28005,"12,297",477,"Pike, MS - Marion, MS","90,444"
"4","Hardy County",54031,"West Virginia",54031,"13,776",1,"Allegany (Cumberland), MD - Garrett, MD","151,642"
"5","Allegany County",24001,"Maryland",24001,"70,416",1,"Allegany (Cumberland), MD - Garrett, MD","151,642"
"6","Garrett County",24023,"Maryland",24023,"29,014",1,"Allegany (Cumberland), MD - Garrett, MD","151,642"
"7","Grant County",54023,"West Virginia",54023,"11,568",1,"Allegany (Cumberland), MD - Garrett, MD","151,642"
"8","Mineral County",54057,"West Virginia",54057,"26,868",1,"Allegany (Cumberland), MD - Garrett, MD","151,642"
"9","Gallatin County",21077,"Kentucky",21077,"8,869",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"10","Pendleton County",21191,"Kentucky",21191,"14,590",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"11","Grant County",21081,"Kentucky",21081,"25,069",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"12","Kenton County",21117,"Kentucky",21117,"166,998",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"13","Boone County",21015,"Kentucky",21015,"133,581",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"14","Campbell County",21037,"Kentucky",21037,"93,584",2,"Kenton (Covington), KY - Campbell, KY","442,691"
"15","Windham County",9015,"Connecticut",9015,"116,782",4,"Hartford (Hartford), CT - Tolland, CT","1,159,223"
"16","Hartford County",9003,"Connecticut",9003,"891,720",4,"Hartford (Hartford), CT - Tolland, CT","1,159,223"
"17","Tolland County",9013,"Connecticut",9013,"150,721",4,"Hartford (Hartford), CT - Tolland, CT","1,159,223"
"18","Bristol County",44001,"Rhode Island",44001,"48,479",20,"Providence (Providence), RI - New London, CT","1,242,485"
"19","New London County",9011,"Connecticut",9011,"265,206",20,"Providence (Providence), RI - New London, CT","1,242,485"
"20","Kent County",44003,"Rhode Island",44003,"164,292",20,"Providence (Providence), RI - New London, CT","1,242,485"
"21","Providence County",44007,"Rhode Island",44007,"638,931",20,"Providence (Providence), RI - New London, CT","1,242,485"
"22","Washington County",44009,"Rhode Island",44009,"125,577",20,"Providence (Providence), RI - New London, CT","1,242,485"
"23","Pulaski County",21199,"Kentucky",21199,"64,979",37,"Pulaski, KY - Wayne, KY","102,543"
"24","Wayne County",21231,"Kentucky",21231,"20,333",37,"Pulaski, KY - Wayne, KY","102,543"
"25","McCreary County",21147,"Kentucky",21147,"17,231",37,"Pulaski, KY - Wayne, KY","102,543"
"26","Onondaga County",36067,"New York",36067,"460,528",56,"Onondaga (Syracuse), NY - Oswego, NY","654,228"
"27","Oswego County",36075,"New York",36075,"117,124",56,"Onondaga (Syracuse), NY - Oswego, NY","654,228"
"28","Cayuga County",36011,"New York",36011,"76,576",56,"Onondaga (Syracuse), NY - Oswego, NY","654,228"
"29","Estill County",21065,"Kentucky",21065,"14,106",62,"Madison, KY - Rockcastle, KY","137,117"
"30","Madison County",21151,"Kentucky",21151,"92,987",62,"Madison, KY - Rockcastle, KY","137,117"
"31","Jackson County",21109,"Kentucky",21109,"13,329",62,"Madison, KY - Rockcastle, KY","137,117"
"32","Rockcastle County",21203,"Kentucky",21203,"16,695",62,"Madison, KY - Rockcastle, KY","137,117"
"33","Lunenburg County",51111,"Virginia",51111,"12,196",71,"Halifax with South Boston City, VA - Mecklenburg, VA","76,694"
"34","Halifax County",51083,"Virginia",51083,"33,911",71,"Halifax with South Boston City, VA - Mecklenburg, VA","76,694"
"35","Mecklenburg County",51117,"Virginia",51117,"30,587",71,"Halifax with South Boston City, VA - Mecklenburg, VA","76,694"
"36","Adair County",21001,"Kentucky",21001,"19,202",82,"Taylor, KY - Adair, KY","73,835"
"37","Russell County",21207,"Kentucky",21207,"17,923",82,"Taylor, KY - Adair, KY","73,835"
"38","Green County",21087,"Kentucky",21087,"10,941",82,"Taylor, KY - Adair, KY","73,835"
"39","Taylor County",21217,"Kentucky",21217,"25,769",82,"Taylor, KY - Adair, KY","73,835"
"40","Orange County",36071,"New York",36071,"384,940",86,"Orange (Newburgh), NY - Sullivan, NY","516,181"
"41","Sullivan County",36105,"New York",36105,"75,432",86,"Orange (Newburgh), NY - Sullivan, NY","516,181"
"42","Pike County",42103,"Pennsylvania",42103,"55,809",86,"Orange (Newburgh), NY - Sullivan, NY","516,181"
"43","Belknap County",33001,"New Hampshire",33001,"61,303",91,"Hillsborough (Manchester), NH - Merrimack, NH","678,629"
"44","Merrimack County",33013,"New Hampshire",33013,"151,391",91,"Hillsborough (Manchester), NH - Merrimack, NH","678,629"
"45","Carroll County",33003,"New Hampshire",33003,"48,910",91,"Hillsborough (Manchester), NH - Merrimack, NH","678,629"
"46","Hillsborough County",33011,"New Hampshire",33011,"417,025",91,"Hillsborough (Manchester), NH - Merrimack, NH","678,629"
"47","Androscoggin County",23001,"Maine",23001,"108,277",95,"Androscoggin (Lewiston), ME - Oxford, ME","196,451"
"48","Franklin County",23007,"Maine",23007,"30,199",95,"Androscoggin (Lewiston), ME - Oxford, ME","196,451"
"49","Oxford County",23017,"Maine",23017,"57,975",95,"Androscoggin (Lewiston), ME - Oxford, ME","196,451"
"50","York County",23031,"Maine",23031,"207,641",98,"York, ME - Strafford (Rochester), NH","338,274"
"51","Strafford County",33017,"New Hampshire",33017,"130,633",98,"York, ME - Strafford (Rochester), NH","338,274"
"52","Cumberland County",21057,"Kentucky",21057,"6,614",104,"Clinton, KY - Cumberland, KY","16,832"
"53","Clinton County",21053,"Kentucky",21053,"10,218",104,"Clinton, KY - Cumberland, KY","16,832"
"54","Chautauqua County",36013,"New York",36013,"126,903",106,"Erie (Erie), PA - Chautauqua, NY","435,822"
"55","Erie County",42049,"Pennsylvania",42049,"269,728",106,"Erie (Erie), PA - Chautauqua, NY","435,822"
"56","Warren County",42123,"Pennsylvania",42123,"39,191",106,"Erie (Erie), PA - Chautauqua, NY","435,822"
"57","Bracken County",21023,"Kentucky",21023,"8,303",116,"Mason, KY - Fleming, KY","39,954"
"58","Fleming County",21069,"Kentucky",21069,"14,581",116,"Mason, KY - Fleming, KY","39,954"
"59","Mason County",21161,"Kentucky",21161,"17,070",116,"Mason, KY - Fleming, KY","39,954"
"60","Kent County",24029,"Maryland",24029,"19,422",124,"Kent, MD","19,422"
"61","Mercer County",34021,"New Jersey",34021,"367,430",126,"Mercer, NJ","367,430"
"62","Bath County",21011,"Kentucky",21011,"12,500",131,"Montgomery, KY - Bath, KY","40,657"
"63","Montgomery County",21173,"Kentucky",21173,"28,157",131,"Montgomery, KY - Bath, KY","40,657"
"64","Floyd County",13115,"Georgia",13115,"98,498",154,"Floyd, GA - Bartow, GA","331,601"
"65","Polk County",13233,"Georgia",13233,"42,613",154,"Floyd, GA - Bartow, GA","331,601"
"66","Gordon County",13129,"Georgia",13129,"57,963",154,"Floyd, GA - Bartow, GA","331,601"
"67","Bartow County",13015,"Georgia",13015,"107,738",154,"Floyd, GA - Bartow, GA","331,601"
"68","Chattooga County",13055,"Georgia",13055,"24,789",154,"Floyd, GA - Bartow, GA","331,601"
"69","Mobile County",1097,"Alabama",1097,"413,210",161,"Mobile (Mobile), AL - Baldwin, AL","697,125"
"70","Monroe County",1099,"Alabama",1099,"20,733",161,"Mobile (Mobile), AL - Baldwin, AL","697,125"
"71","Clarke County",1025,"Alabama",1025,"23,622",161,"Mobile (Mobile), AL - Baldwin, AL","697,125"
"72","Washington County",1129,"Alabama",1129,"16,326",161,"Mobile (Mobile), AL - Baldwin, AL","697,125"
"73","Baldwin County",1003,"Alabama",1003,"223,234",161,"Mobile (Mobile), AL - Baldwin, AL","697,125"
"74","Barrow County",13013,"Georgia",13013,"83,240",164,"Clarke (Athens), GA - Barrow, GA","407,567"
"75","Madison County",13195,"Georgia",13195,"29,880",164,"Clarke (Athens), GA - Barrow, GA","407,567"
"76","Morgan County",13211,"Georgia",13211,"19,276",164,"Clarke (Athens), GA - Barrow, GA","407,567"
"77","Oconee County",13219,"Georgia",13219,"40,280",164,"Clarke (Athens), GA - Barrow, GA","407,567"
"78","Clarke County",13059,"Georgia",13059,"128,331",164,"Clarke (Athens), GA - Barrow, GA","407,567"
"79","Greene County",13133,"Georgia",13133,"18,324",164,"Clarke (Athens), GA - Barrow, GA","407,567"
"80","Jackson County",13157,"Georgia",13157,"72,977",164,"Clarke (Athens), GA - Barrow, GA","407,567"
"81","Oglethorpe County",13221,"Georgia",13221,"15,259",164,"Clarke (Athens), GA - Barrow, GA","407,567"
"82","Brunswick County",37019,"North Carolina",37019,"142,820",168,"New Hanover (Wilmington), NC - Brunswick, NC","440,353"
"83","New Hanover County",37129,"North Carolina",37129,"234,473",168,"New Hanover (Wilmington), NC - Brunswick, NC","440,353"
"84","Pender County",37141,"North Carolina",37141,"63,060",168,"New Hanover (Wilmington), NC - Brunswick, NC","440,353"
"85","Autauga County",1001,"Alabama",1001,"55,869",171,"Montgomery (Montgomery), AL - Autauga, AL","386,117"
"86","Covington County",1039,"Alabama",1039,"37,049",171,"Montgomery (Montgomery), AL - Autauga, AL","386,117"
"87","Pike County",1109,"Alabama",1109,"33,114",171,"Montgomery (Montgomery), AL - Autauga, AL","386,117"
"88","Montgomery County",1101,"Alabama",1101,"226,486",171,"Montgomery (Montgomery), AL - Autauga, AL","386,117"
"89","Bullock County",1011,"Alabama",1011,"10,101",171,"Montgomery (Montgomery), AL - Autauga, AL","386,117"
"90","Crenshaw County",1041,"Alabama",1041,"13,772",171,"Montgomery (Montgomery), AL - Autauga, AL","386,117"
"91","Lowndes County",1085,"Alabama",1085,"9,726",171,"Montgomery (Montgomery), AL - Autauga, AL","386,117"
"92","Dallas County",1047,"Alabama",1047,"37,196",175,"Dallas, AL - Marengo, AL","75,355"
"93","Perry County",1105,"Alabama",1105,"8,923",175,"Dallas, AL - Marengo, AL","75,355"
"94","Marengo County",1091,"Alabama",1091,"18,863",175,"Dallas, AL - Marengo, AL","75,355"
"95","Wilcox County",1131,"Alabama",1131,"10,373",175,"Dallas, AL - Marengo, AL","75,355"
"96","Haralson County",13143,"Georgia",13143,"29,792",177,"Calhoun (Anniston), AL - Carroll, GA","278,299"
"97","Cleburne County",1029,"Alabama",1029,"14,910",177,"Calhoun (Anniston), AL - Carroll, GA","278,299"
"98","Calhoun County",1015,"Alabama",1015,"113,605",177,"Calhoun (Anniston), AL - Carroll, GA","278,299"
"99","Carroll County",13045,"Georgia",13045,"119,992",177,"Calhoun (Anniston), AL - Carroll, GA","278,299"
"100","Thomas County",13275,"Georgia",13275,"44,451",178,"Thomas, GA - Mitchell, GA","90,947"
"101","Grady County",13131,"Georgia",13131,"24,633",178,"Thomas, GA - Mitchell, GA","90,947"
"102","Mitchell County",13205,"Georgia",13205,"21,863",178,"Thomas, GA - Mitchell, GA","90,947"
"103","Wakulla County",12129,"Florida",12129,"33,739",183,"Leon (Tallahassee), FL - Gadsden, FL","447,768"
"104","Franklin County",12037,"Florida",12037,"12,125",183,"Leon (Tallahassee), FL - Gadsden, FL","447,768"
"105","Taylor County",12123,"Florida",12123,"21,569",183,"Leon (Tallahassee), FL - Gadsden, FL","447,768"
"106","Gadsden County",12039,"Florida",12039,"45,660",183,"Leon (Tallahassee), FL - Gadsden, FL","447,768"
"107","Jefferson County",12065,"Florida",12065,"14,246",183,"Leon (Tallahassee), FL - Gadsden, FL","447,768"
"108","Leon County",12073,"Florida",12073,"293,582",183,"Leon (Tallahassee), FL - Gadsden, FL","447,768"
"109","Madison County",12079,"Florida",12079,"18,493",183,"Leon (Tallahassee), FL - Gadsden, FL","447,768"
"110","Liberty County",12077,"Florida",12077,"8,354",183,"Leon (Tallahassee), FL - Gadsden, FL","447,768"
"111","Crockett County",47033,"Tennessee",47033,"14,230",188,"Madison (Jackson), TN - Gibson, TN","260,778"
"112","Gibson County",47053,"Tennessee",47053,"49,133",188,"Madison (Jackson), TN - Gibson, TN","260,778"
"113","Haywood County",47075,"Tennessee",47075,"17,304",188,"Madison (Jackson), TN - Gibson, TN","260,778"
"114","Henderson County",47077,"Tennessee",47077,"28,117",188,"Madison (Jackson), TN - Gibson, TN","260,778"
"115","Hardeman County",47069,"Tennessee",47069,"25,050",188,"Madison (Jackson), TN - Gibson, TN","260,778"
"116","Madison County",47113,"Tennessee",47113,"97,984",188,"Madison (Jackson), TN - Gibson, TN","260,778"
"117","Chester County",47023,"Tennessee",47023,"17,297",188,"Madison (Jackson), TN - Gibson, TN","260,778"
"118","Decatur County",47039,"Tennessee",47039,"11,663",188,"Madison (Jackson), TN - Gibson, TN","260,778"
"119","Paulding County",13223,"Georgia",13223,"168,667",190,"Cobb (Marietta), GA - Cherokee, GA","1,366,515"
"120","Pickens County",13227,"Georgia",13227,"32,591",190,"Cobb (Marietta), GA - Cherokee, GA","1,366,515"
"121","Douglas County",13097,"Georgia",13097,"146,343",190,"Cobb (Marietta), GA - Cherokee, GA","1,366,515"
"122","Cherokee County",13057,"Georgia",13057,"258,773",190,"Cobb (Marietta), GA - Cherokee, GA","1,366,515"
"123","Cobb County",13067,"Georgia",13067,"760,141",190,"Cobb (Marietta), GA - Cherokee, GA","1,366,515"
"124","Dooly County",13093,"Georgia",13093,"13,390",197,"Sumter, GA - Crisp, GA","86,868"
"125","Sumter County",13261,"Georgia",13261,"29,524",197,"Sumter, GA - Crisp, GA","86,868"
"126","Wilcox County",13315,"Georgia",13315,"8,635",197,"Sumter, GA - Crisp, GA","86,868"
"127","Macon County",13193,"Georgia",13193,"12,947",197,"Sumter, GA - Crisp, GA","86,868"
"128","Crisp County",13081,"Georgia",13081,"22,372",197,"Sumter, GA - Crisp, GA","86,868"
"129","Dillon County",45033,"South Carolina",45033,"30,479",199,"Marion, SC - Dillon, SC","61,136"
"130","Marion County",45067,"South Carolina",45067,"30,657",199,"Marion, SC - Dillon, SC","61,136"
"131","Charlotte County",12015,"Florida",12015,"188,910",213,"Sarasota (Sarasota), FL - Charlotte, FL","660,653"
"132","Sarasota County",12115,"Florida",12115,"433,742",213,"Sarasota (Sarasota), FL - Charlotte, FL","660,653"
"133","DeSoto County",12027,"Florida",12027,"38,001",213,"Sarasota (Sarasota), FL - Charlotte, FL","660,653"
"134","Cleveland County",37045,"North Carolina",37045,"97,947",218,"Gaston (Gastonia), NC - Cleveland, NC","475,616"
"135","Gaston County",37071,"North Carolina",37071,"224,529",218,"Gaston (Gastonia), NC - Cleveland, NC","475,616"
"136","Lincoln County",37109,"North Carolina",37109,"86,111",218,"Gaston (Gastonia), NC - Cleveland, NC","475,616"
"137","Rutherford County",37161,"North Carolina",37161,"67,029",218,"Gaston (Gastonia), NC - Cleveland, NC","475,616"
"138","Bledsoe County",47007,"Tennessee",47007,"15,064",223,"Cumberland, TN - Fentress, TN","94,107"
"139","Fentress County",47049,"Tennessee",47049,"18,523",223,"Cumberland, TN - Fentress, TN","94,107"
"140","Cumberland County",47035,"Tennessee",47035,"60,520",223,"Cumberland, TN - Fentress, TN","94,107"
"141","Hernando County",12053,"Florida",12053,"193,920",227,"Hillsborough (Tampa), FL - Pinellas, FL","3,194,831"
"142","Hillsborough County",12057,"Florida",12057,"1,471,968",227,"Hillsborough (Tampa), FL - Pinellas, FL","3,194,831"
"143","Pasco County",12101,"Florida",12101,"553,947",227,"Hillsborough (Tampa), FL - Pinellas, FL","3,194,831"
"144","Pinellas County",12103,"Florida",12103,"974,996",227,"Hillsborough (Tampa), FL - Pinellas, FL","3,194,831"
"145","Chowan County",37041,"North Carolina",37041,"13,943",243,"Hertford, NC - Bertie, NC","68,129"
"146","Gates County",37073,"North Carolina",37073,"11,562",243,"Hertford, NC - Bertie, NC","68,129"
"147","Bertie County",37015,"North Carolina",37015,"18,947",243,"Hertford, NC - Bertie, NC","68,129"
"148","Hertford County",37091,"North Carolina",37091,"23,677",243,"Hertford, NC - Bertie, NC","68,129"
"149","Osceola County",12097,"Florida",12097,"375,751",257,"Osceola, FL","375,751"
"150","Butler County",1013,"Alabama",1013,"19,448",259,"Butler, AL","19,448"
"151","Bedford County",47003,"Tennessee",47003,"49,713",260,"Bedford, TN","49,713"
"152","Alamance County",37001,"North Carolina",37001,"169,509",267,"Alamance, NC","169,509"
"153","Franklin County",18047,"Indiana",18047,"22,758",270,"Hamilton (Cincinnati), OH - Butler, OH","1,735,525"
"154","Adams County",39001,"Ohio",39001,"27,698",270,"Hamilton (Cincinnati), OH - Butler, OH","1,735,525"
"155","Brown County",39015,"Ohio",39015,"43,432",270,"Hamilton (Cincinnati), OH - Butler, OH","1,735,525"
"156","Clermont County",39025,"Ohio",39025,"206,428",270,"Hamilton (Cincinnati), OH - Butler, OH","1,735,525"
"157","Hamilton County",39061,"Ohio",39061,"817,473",270,"Hamilton (Cincinnati), OH - Butler, OH","1,735,525"
"158","Butler County",39017,"Ohio",39017,"383,134",270,"Hamilton (Cincinnati), OH - Butler, OH","1,735,525"
"159","Warren County",39165,"Ohio",39165,"234,602",270,"Hamilton (Cincinnati), OH - Butler, OH","1,735,525"
"160","Wayne County",26163,"Michigan",26163,"1,749,343",274,"Wayne (Detroit), MI - Oakland, MI","4,440,495"
"161","Oakland County",26125,"Michigan",26125,"1,257,584",274,"Wayne (Detroit), MI - Oakland, MI","4,440,495"
"162","Washtenaw County",26161,"Michigan",26161,"367,601",274,"Wayne (Detroit), MI - Oakland, MI","4,440,495"
"163","Livingston County",26093,"Michigan",26093,"191,995",274,"Wayne (Detroit), MI - Oakland, MI","4,440,495"
"164","Macomb County",26099,"Michigan",26099,"873,972",274,"Wayne (Detroit), MI - Oakland, MI","4,440,495"
"165","Monroe County",26115,"Michigan",26115,"150,500",276,"Lucas (Toledo), OH - Monroe, MI","792,316"
"166","Lucas County",39095,"Ohio",39095,"428,348",276,"Lucas (Toledo), OH - Monroe, MI","792,316"
"167","Ottawa County",39123,"Ohio",39123,"40,525",276,"Lucas (Toledo), OH - Monroe, MI","792,316"
"168","Wood County",39173,"Ohio",39173,"130,817",276,"Lucas (Toledo), OH - Monroe, MI","792,316"
"169","Fulton County",39051,"Ohio",39051,"42,126",276,"Lucas (Toledo), OH - Monroe, MI","792,316"
"170","Winnebago County",17201,"Illinois",17201,"282,572",291,"Winnebago (Rockford), IL - Ogle, IL","420,855"
"171","Lee County",17103,"Illinois",17103,"34,096",291,"Winnebago (Rockford), IL - Ogle, IL","420,855"
"172","Ogle County",17141,"Illinois",17141,"50,643",291,"Winnebago (Rockford), IL - Ogle, IL","420,855"
"173","Boone County",17007,"Illinois",17007,"53,544",291,"Winnebago (Rockford), IL - Ogle, IL","420,855"
"174","Grundy County",17063,"Illinois",17063,"51,054",303,"Will (Joliet), IL - Grundy, IL","741,797"
"175","Will County",17197,"Illinois",17197,"690,743",303,"Will (Joliet), IL - Grundy, IL","741,797"
"176","Montcalm County",26117,"Michigan",26117,"63,888",309,"Kent (Grand Rapids), MI - Ionia, MI","869,704"
"177","Ionia County",26067,"Michigan",26067,"64,697",309,"Kent (Grand Rapids), MI - Ionia, MI","869,704"
"178","Mecosta County",26107,"Michigan",26107,"43,453",309,"Kent (Grand Rapids), MI - Ionia, MI","869,704"
"179","Kent County",26081,"Michigan",26081,"656,955",309,"Kent (Grand Rapids), MI - Ionia, MI","869,704"
"180","Gratiot County",26057,"Michigan",26057,"40,711",309,"Kent (Grand Rapids), MI - Ionia, MI","869,704"
"181","Iron County",26071,"Michigan",26071,"11,066",315,"Marinette, WI - Dickinson, MI","103,730"
"182","Marinette County",55075,"Wisconsin",55075,"40,350",315,"Marinette, WI - Dickinson, MI","103,730"
"183","Florence County",55037,"Wisconsin",55037,"4,295",315,"Marinette, WI - Dickinson, MI","103,730"
"184","Dickinson County",26043,"Michigan",26043,"25,239",315,"Marinette, WI - Dickinson, MI","103,730"
"185","Menominee County",26109,"Michigan",26109,"22,780",315,"Marinette, WI - Dickinson, MI","103,730"
"186","Morgan County",17137,"Illinois",17137,"33,658",319,"Morgan, IL - Greene, IL","51,578"
"187","Greene County",17061,"Illinois",17061,"12,969",319,"Morgan, IL - Greene, IL","51,578"
"188","Scott County",17171,"Illinois",17171,"4,951",319,"Morgan, IL - Greene, IL","51,578"
"189","Lawrence County",18093,"Indiana",18093,"45,370",329,"Lawrence, IN - Orange, IN","65,016"
"190","Orange County",18117,"Indiana",18117,"19,646",329,"Lawrence, IN - Orange, IN","65,016"
"191","Crawford County",18025,"Indiana",18025,"10,577",339,"Floyd (New Albany), IN - Harrison, IN","157,650"
"192","Floyd County",18043,"Indiana",18043,"78,522",339,"Floyd (New Albany), IN - Harrison, IN","157,650"
"193","Harrison County",18061,"Indiana",18061,"40,515",339,"Floyd (New Albany), IN - Harrison, IN","157,650"
"194","Washington County",18175,"Indiana",18175,"28,036",339,"Floyd (New Albany), IN - Harrison, IN","157,650"
"195","Arenac County",26011,"Michigan",26011,"14,883",342,"Bay (Bay City), MI - Iosco, MI","172,374"
"196","Iosco County",26069,"Michigan",26069,"25,127",342,"Bay (Bay City), MI - Iosco, MI","172,374"
"197","Oscoda County",26135,"Michigan",26135,"8,241",342,"Bay (Bay City), MI - Iosco, MI","172,374"
"198","Bay County",26017,"Michigan",26017,"103,126",342,"Bay (Bay City), MI - Iosco, MI","172,374"
"199","Ogemaw County",26129,"Michigan",26129,"20,997",342,"Bay (Bay City), MI - Iosco, MI","172,374"
"200","Outagamie County",55087,"Wisconsin",55087,"187,885",344,"Outagamie (Appleton), WI - Waupaca, WI","238,875"
"201","Waupaca County",55135,"Wisconsin",55135,"50,990",344,"Outagamie (Appleton), WI - Waupaca, WI","238,875"
"202","Mahoning County",39099,"Ohio",39099,"228,683",345,"Mahoning (Youngstown), OH - Trumbull, OH","536,081"
"203","Trumbull County",39155,"Ohio",39155,"197,974",345,"Mahoning (Youngstown), OH - Trumbull, OH","536,081"
"204","Mercer County",42085,"Pennsylvania",42085,"109,424",345,"Mahoning (Youngstown), OH - Trumbull, OH","536,081"
"205","Ashland County",55003,"Wisconsin",55003,"15,562",357,"Ashland, WI - Sawyer, WI","60,507"
"206","Bayfield County",55007,"Wisconsin",55007,"15,036",357,"Ashland, WI - Sawyer, WI","60,507"
"207","Sawyer County",55113,"Wisconsin",55113,"16,558",357,"Ashland, WI - Sawyer, WI","60,507"
"208","Price County",55099,"Wisconsin",55099,"13,351",357,"Ashland, WI - Sawyer, WI","60,507"
"209","Hancock County",17067,"Illinois",17067,"17,708",367,"Lee, IA - Hancock, IL","58,162"
"210","Clark County",29045,"Missouri",29045,"6,797",367,"Lee, IA - Hancock, IL","58,162"
"211","Lee County",19111,"Iowa",19111,"33,657",367,"Lee, IA - Hancock, IL","58,162"
"212","Ashland County",39005,"Ohio",39005,"53,484",369,"Richland (Mansfield), OH - Ashland, OH","174,638"
"213","Richland County",39139,"Ohio",39139,"121,154",369,"Richland (Mansfield), OH - Ashland, OH","174,638"
"214","Pierce County",55093,"Wisconsin",55093,"42,754",370,"St. Croix, WI - Goodhue, MN","179,781"
"215","St. Croix County",55109,"Wisconsin",55109,"90,687",370,"St. Croix, WI - Goodhue, MN","179,781"
"216","Goodhue County",27049,"Minnesota",27049,"46,340",370,"St. Croix, WI - Goodhue, MN","179,781"
"217","Calhoun County",26025,"Michigan",26025,"134,159",381,"Calhoun (Battle Creek), MI - Barry, MI","195,709"
"218","Barry County",26015,"Michigan",26015,"61,550",381,"Calhoun (Battle Creek), MI - Barry, MI","195,709"
"219","White County",17193,"Illinois",17193,"13,537",383,"White, IL - Hamilton, IL","21,653"
"220","Hamilton County",17065,"Illinois",17065,"8,116",383,"White, IL - Hamilton, IL","21,653"
"221","Winneshiek County",19191,"Iowa",19191,"19,991",395,"Winneshiek, IA","19,991"
"222","Dallam County",48111,"Texas",48111,"7,287",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"223","Swisher County",48437,"Texas",48437,"7,397",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"224","Moore County",48341,"Texas",48341,"20,940",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"225","Oldham County",48359,"Texas",48359,"2,112",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"226","Potter County",48375,"Texas",48375,"117,415",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"227","Sherman County",48421,"Texas",48421,"3,022",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"228","Carson County",48065,"Texas",48065,"5,926",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"229","Hansford County",48195,"Texas",48195,"5,399",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"230","Armstrong County",48011,"Texas",48011,"1,887",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"231","Briscoe County",48045,"Texas",48045,"1,546",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"232","Donley County",48129,"Texas",48129,"3,278",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"233","Hutchinson County",48233,"Texas",48233,"20,938",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"234","Ochiltree County",48357,"Texas",48357,"9,836",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"235","Randall County",48381,"Texas",48381,"137,713",405,"Potter (Amarillo), TX - Randall, TX","350,272"
"236","Chambers County",48071,"Texas",48071,"43,837",408,"Harris (Houston), TX - Fort Bend, TX","6,378,597"
"237","Harris County",48201,"Texas",48201,"4,713,325",408,"Harris (Houston), TX - Fort Bend, TX","6,378,597"
"238","Montgomery County",48339,"Texas",48339,"607,391",408,"Harris (Houston), TX - Fort Bend, TX","6,378,597"
"239","Austin County",48015,"Texas",48015,"30,032",408,"Harris (Houston), TX - Fort Bend, TX","6,378,597"
"240","Fort Bend County",48157,"Texas",48157,"811,688",408,"Harris (Houston), TX - Fort Bend, TX","6,378,597"
"241","Liberty County",48291,"Texas",48291,"88,219",408,"Harris (Houston), TX - Fort Bend, TX","6,378,597"
"242","San Jacinto County",48407,"Texas",48407,"28,859",408,"Harris (Houston), TX - Fort Bend, TX","6,378,597"
"243","Waller County",48473,"Texas",48473,"55,246",408,"Harris (Houston), TX - Fort Bend, TX","6,378,597"
"244","Lauderdale County",28075,"Mississippi",28075,"74,125",412,"Lauderdale, MS - Neshoba, MS","174,560"
"245","Neshoba County",28099,"Mississippi",28099,"29,118",412,"Lauderdale, MS - Neshoba, MS","174,560"
"246","Choctaw County",1023,"Alabama",1023,"12,589",412,"Lauderdale, MS - Neshoba, MS","174,560"
"247","Kemper County",28069,"Mississippi",28069,"9,742",412,"Lauderdale, MS - Neshoba, MS","174,560"
"248","Newton County",28101,"Mississippi",28101,"21,018",412,"Lauderdale, MS - Neshoba, MS","174,560"
"249","Sumter County",1119,"Alabama",1119,"12,427",412,"Lauderdale, MS - Neshoba, MS","174,560"
"250","Clarke County",28023,"Mississippi",28023,"15,541",412,"Lauderdale, MS - Neshoba, MS","174,560"
"251","Iberville Parish",22047,"Louisiana",22047,"32,511",419,"East Baton Rouge (Baton Rouge), LA - Livingston, LA","822,861"
"252","Livingston Parish",22063,"Louisiana",22063,"140,789",419,"East Baton Rouge (Baton Rouge), LA - Livingston, LA","822,861"
"253","Pointe Coupee Parish",22077,"Louisiana",22077,"21,730",419,"East Baton Rouge (Baton Rouge), LA - Livingston, LA","822,861"
"254","West Baton Rouge Parish",22121,"Louisiana",22121,"26,465",419,"East Baton Rouge (Baton Rouge), LA - Livingston, LA","822,861"
"255","West Feliciana Parish",22125,"Louisiana",22125,"15,568",419,"East Baton Rouge (Baton Rouge), LA - Livingston, LA","822,861"
